Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.33      0.01     0.01   954967     0.00     0.00  std::_List_node<corner>::_M_valptr()
 33.33      0.02     0.01   557525     0.00     0.00  std::_List_node<edge>::_M_valptr()
 33.33      0.03     0.01    20295     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long)
  0.00      0.03     0.00   954967     0.00     0.00  __gnu_cxx::__aligned_membuf<corner>::_M_ptr()
  0.00      0.03     0.00   954967     0.00     0.00  __gnu_cxx::__aligned_membuf<corner>::_M_addr()
  0.00      0.03     0.00   878913     0.00     0.00  std::_List_iterator<corner>::operator->() const
  0.00      0.03     0.00   557525     0.00     0.00  __gnu_cxx::__aligned_membuf<edge>::_M_ptr()
  0.00      0.03     0.00   557525     0.00     0.00  __gnu_cxx::__aligned_membuf<edge>::_M_addr()
  0.00      0.03     0.00   525569     0.00     0.00  std::_List_iterator<edge>::operator->() const
  0.00      0.03     0.00   265579     0.00     0.00  std::_List_iterator<corner>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.03     0.00   213638     0.00     0.00  std::_List_iterator<edge>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.03     0.00   200608     0.00     0.00  std::__cxx11::list<corner, std::allocator<corner> >::end()
  0.00      0.03     0.00   166943     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::end()
  0.00      0.03     0.00   161737     0.00     0.00  std::_List_iterator<corner>::operator!=(std::_List_iterator<corner> const&) const
  0.00      0.03     0.00   160675     0.00     0.00  std::_List_iterator<corner>::operator++(int)
  0.00      0.03     0.00   152128     0.00     0.00  corner const& std::forward<corner const&>(std::remove_reference<corner const&>::type&)
  0.00      0.03     0.00   149300     0.00     0.00  std::_List_iterator<edge>::operator!=(std::_List_iterator<edge> const&) const
  0.00      0.03     0.00   141096     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_ptr()
  0.00      0.03     0.00   141096     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_addr()
  0.00      0.03     0.00   141096     0.00     0.00  std::_List_node<unsigned long>::_M_valptr()
  0.00      0.03     0.00   132023     0.00     0.00  std::_List_iterator<edge>::operator++(int)
  0.00      0.03     0.00   123423     0.00     0.00  std::_List_iterator<corner>::operator++()
  0.00      0.03     0.00    81180     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.03     0.00    76054     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_get_Node_allocator()
  0.00      0.03     0.00    74404     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.03     0.00    63948     0.00     0.00  edge const& std::forward<edge const&>(std::remove_reference<edge const&>::type&)
  0.00      0.03     0.00    60885     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.03     0.00    60885     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.03     0.00    60885     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.03     0.00    60885     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.03     0.00    57740     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_ptr() const
  0.00      0.03     0.00    57740     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_addr() const
  0.00      0.03     0.00    57740     0.00     0.00  std::_List_node<unsigned long>::_M_valptr() const
  0.00      0.03     0.00    40975     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_node_count() const
  0.00      0.03     0.00    40975     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::size() const
  0.00      0.03     0.00    40590     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.03     0.00    40590     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.03     0.00    38032     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<corner> >::allocate(unsigned long, void const*)
  0.00      0.03     0.00    38032     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<corner> >::construct<corner, corner const&>(corner*, corner const&)
  0.00      0.03     0.00    38032     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<corner> >::max_size() const
  0.00      0.03     0.00    38032     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<corner> > >::__allocated_ptr(std::allocator<std::_List_node<corner> >&, std::_List_node<corner>*)
  0.00      0.03     0.00    38032     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<corner> > >::~__allocated_ptr()
  0.00      0.03     0.00    38032     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<corner> > >::operator=(decltype(nullptr))
  0.00      0.03     0.00    38032     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<corner> > >::allocate(std::allocator<std::_List_node<corner> >&, unsigned long)
  0.00      0.03     0.00    38032     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<corner> > >::construct<corner, corner const&>(std::allocator<std::_List_node<corner> >&, corner*, corner const&)
  0.00      0.03     0.00    38032     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_get_node()
  0.00      0.03     0.00    38032     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_inc_size(unsigned long)
  0.00      0.03     0.00    38032     0.00     0.00  std::_List_node<corner>* std::__cxx11::list<corner, std::allocator<corner> >::_M_create_node<corner const&>(corner const&)
  0.00      0.03     0.00    38032     0.00     0.00  void std::__cxx11::list<corner, std::allocator<corner> >::_M_insert<corner const&>(std::_List_iterator<corner>, corner const&)
  0.00      0.03     0.00    38032     0.00     0.00  std::__cxx11::list<corner, std::allocator<corner> >::push_back(corner const&)
  0.00      0.03     0.00    38032     0.00     0.00  std::allocator<std::_List_node<corner> >* std::__addressof<std::allocator<std::_List_node<corner> > >(std::allocator<std::_List_node<corner> >&)
  0.00      0.03     0.00    38022     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<corner> >::deallocate(std::_List_node<corner>*, unsigned long)
  0.00      0.03     0.00    38022     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<corner> >::destroy<corner>(corner*)
  0.00      0.03     0.00    38022     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<corner> > >::deallocate(std::allocator<std::_List_node<corner> >&, std::_List_node<corner>*, unsigned long)
  0.00      0.03     0.00    38022     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<corner> > >::destroy<corner>(std::allocator<std::_List_node<corner> >&, corner*)
  0.00      0.03     0.00    38022     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_put_node(std::_List_node<corner>*)
  0.00      0.03     0.00    36735     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::begin()
  0.00      0.03     0.00    33437     0.00     0.00  std::__cxx11::list<corner, std::allocator<corner> >::begin()
  0.00      0.03     0.00    31956     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_get_Node_allocator()
  0.00      0.03     0.00    21406     0.00     0.00  std::_List_iterator<edge>::operator++()
  0.00      0.03     0.00    20680     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.03     0.00    20680     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
