Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 50.00      0.01     0.01   621551     0.02     0.02  std::_List_iterator<corner>::operator->() const
 50.00      0.02     0.01      148    67.57    67.57  fillEdges(std::__cxx11::list<edge, std::allocator<edge> >*, int (*) [3][3], int*, int (*) [3][3], int (*) [3][3])
  0.00      0.02     0.00   672697     0.00     0.00  __gnu_cxx::__aligned_membuf<corner>::_M_ptr()
  0.00      0.02     0.00   672697     0.00     0.00  __gnu_cxx::__aligned_membuf<corner>::_M_addr()
  0.00      0.02     0.00   672697     0.00     0.00  std::_List_node<corner>::_M_valptr()
  0.00      0.02     0.00   456088     0.00     0.00  __gnu_cxx::__aligned_membuf<edge>::_M_ptr()
  0.00      0.02     0.00   456088     0.00     0.00  __gnu_cxx::__aligned_membuf<edge>::_M_addr()
  0.00      0.02     0.00   456088     0.00     0.00  std::_List_node<edge>::_M_valptr()
  0.00      0.02     0.00   428607     0.00     0.00  std::_List_iterator<edge>::operator->() const
  0.00      0.02     0.00   184775     0.00     0.00  std::_List_iterator<corner>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.02     0.00   170044     0.00     0.00  std::_List_iterator<edge>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.02     0.00   139922     0.00     0.00  std::__cxx11::list<corner, std::allocator<corner> >::end()
  0.00      0.02     0.00   132818     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::end()
  0.00      0.02     0.00   117398     0.00     0.00  std::_List_iterator<edge>::operator!=(std::_List_iterator<edge> const&) const
  0.00      0.02     0.00   113464     0.00     0.00  std::_List_iterator<corner>::operator!=(std::_List_iterator<corner> const&) const
  0.00      0.02     0.00   112705     0.00     0.00  std::_List_iterator<corner>::operator++(int)
  0.00      0.02     0.00   106530     0.00     0.00  std::_List_iterator<edge>::operator++(int)
  0.00      0.02     0.00   102312     0.00     0.00  corner const& std::forward<corner const&>(std::remove_reference<corner const&>::type&)
  0.00      0.02     0.00   102311     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_ptr()
  0.00      0.02     0.00   102311     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_addr()
  0.00      0.02     0.00   102311     0.00     0.00  std::_List_node<unsigned long>::_M_valptr()
  0.00      0.02     0.00    86280     0.00     0.00  std::_List_iterator<corner>::operator++()
  0.00      0.02     0.00    60188     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.02     0.00    54988     0.00     0.00  edge const& std::forward<edge const&>(std::remove_reference<edge const&>::type&)
  0.00      0.02     0.00    54462     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.02     0.00    51146     0.00     0.00  std::__cxx11::_List_base<corner, std::allocator<corner> >::_M_get_Node_allocator()
  0.00      0.02     0.00    45141     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.02     0.00    45141     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.02     0.00    45141     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.02     0.00    45141     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.02     0.00    41606     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_ptr() const
  0.00      0.02     0.00    41606     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned long>::_M_addr() const
  0.00      0.02     0.00    41606     0.00     0.00  std::_List_node<unsigned long>::_M_valptr() const
  0.00      0.02     0.00    30094     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.02     0.00    30094     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.02     0.00    28959     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_node_count() const
  0.00      0.02     0.00    28959     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::size() const
  0.00      0.02     0.00    27492     0.00     0.00  std::__cxx11::list<edge, std::allocator<edge> >::begin()
  0.00      0.02     0.00    27481     0.00     0.00  std::__cxx11::_List_base<edge, std::allocator<edge> >::_M_get_Node_allocator()
  0.00      0.02     0.00    26244     0.00     0.00  std::_List_iterator<edge>::operator++()
  0.00      0.02     0.00    25578     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<corner> >::allocate(unsigned long, void const*)
  0.00      0.02     0.00    25578     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<corner> >::construct<corner, corner const&>(corner*, corner const&)
